year,value
1960,360000
1961,390000
1962,410000
1963,430000
1964,460000
1965,480000
1966,510000
1967,540000
1968,570000
1969,600000
1970,630000
1971,660000
1972,710000
1973,680000
1974,720000
1975,780000
1976,830000
1977,900000
1978,1000000
1979,990000
1980,970000
1981,970000
1982,990000
1983,1030000
1984,1130000
1985,1240000
1986,1370000
1987,1410000
1988,1460000
1989,1510000
1990,1440000
1991,1330000
1992,1330000
1993,1470000
1994,1590000
1995,1740000
1996,1810000
1997,1760000
1998,1780000
1999,1860000
2000,1910000
2001,1930000
2002,1900000
2003,2080000
2004,2360000
2005,2790000
2006,3360000
2007,3830000
2008,3740000
2009,3960000
2010,4270000
2011,4700000
2012,4510000
2013,4750000
2014,4940000
2015,5450000
2016,6110000
2017,6640000
2018,7230000
2019,7060000
2020,2960000
2021,4220000
2022,5790000
2023,6500000
2024,7010000
2025,7550000
2026,8180000
2027,8870000
2028,9620000
2029,10400000
2030,11170000
2031,11910000
2032,12610000
2033,13310000
2034,14040000
2035,14790000
2036,15560000
2037,16460000
2038,17390000
2039,18360000
2040,19390000
2041,20540000
2042,21770000
2043,23060000
2044,24420000
2045,25800000
2046,27250000
2047,28750000
2048,30310000
2049,31930000
2050,33600000
2051,35100000
2052,36660000
2053,38270000
2054,39940000
2055,41670000
2056,43450000
2057,45270000
2058,47140000
2059,49040000
2060,50970000
2061,52900000
2062,54850000
2063,56820000
2064,58800000
2065,60730000
2066,62620000
2067,64530000
2068,66440000
2069,68340000
2070,70230000
2071,72160000
2072,74070000
2073,75940000
2074,77760000
2075,79520000
2076,81230000
2077,82880000
2078,84550000
2079,86230000
2080,87920000
2081,89560000
2082,91140000
2083,92660000
2084,94120000
2085,95530000
2086,96930000
2087,98310000
2088,99640000
2089,100860000
2090,101980000
2091,103040000
2092,104030000
2093,104970000
2094,105860000
2095,106690000
2096,107440000
2097,108100000
2098,108680000
2099,109220000
2100,109690000
