state,max_supply (Tonnes/year),feedstock_price(USD/Tonne),feedstock_type
PUNJAB,47870.0,360,Rice straw
HARYANA,40000.0,360,Rice straw
UTTAR_PRADESH,165000.0,390,"Sugarcane bagasse, rice straw"
BIHAR,33333.333,390,"Rice straw, sugarcane bagasse"
ANDHRA_PRADESH,30000.0,405,Rice straw
TAMIL_NADU,13333.333,435,Sugarcane bagasse
MAHARASHTRA,103333.333,435,Sugarcane bagasse
KARNATAKA,56666.667,405,Sugarcane bagasse
WEST_BENGAL,54970.0,405,Rice straw
CHHATTISGARH,26666.667,360,Rice straw
ODISHA,32046.667,360,Rice straw
MADHYA_PRADESH,33333.333,390,Rice straw
TELANGANA,56980.0,390,Rice straw
ASSAM,20000.0,480,Rice straw
JHARKHAND,16666.667,435,Rice straw
RAJASTHAN,23333.333,435,Rice straw
KERALA,10000.0,480,Rice straw
GUJARAT,15833.333,405,Sugarcane bagasse
