year,value
1960,360000
1961,390000
1962,410000
1963,430000
1964,460000
1965,480000
1966,510000
1967,540000
1968,570000
1969,600000
1970,630000
1971,660000
1972,710000
1973,680000
1974,720000
1975,780000
1976,830000
1977,900000
1978,1000000
1979,990000
1980,970000
1981,970000
1982,990000
1983,1030000
1984,1130000
1985,1240000
1986,1370000
1987,1410000
1988,1460000
1989,1510000
1990,1440000
1991,1330000
1992,1330000
1993,1470000
1994,1590000
1995,1740000
1996,1810000
1997,1760000
1998,1780000
1999,1860000
2000,1910000
2001,1930000
2002,1900000
2003,2080000
2004,2360000
2005,2790000
2006,3360000
2007,3830000
2008,3740000
2009,3960000
2010,4270000
2011,4700000
2012,4510000
2013,4750000
2014,4940000
2015,5450000
2016,6110000
2017,6640000
2018,7230000
2019,7060000
2020,2960000
2021,4220000
2022,5790000
2023,6500000
2024,7010000
2025,7600000
2026,8320000
2027,9110000
2028,9980000
2029,10880000
2030,11800000
2031,12750000
2032,13710000
2033,14740000
2034,15870000
2035,17290000
2036,18880000
2037,20620000
2038,22510000
2039,24560000
2040,26750000
2041,29030000
2042,31480000
2043,34120000
2044,36940000
2045,39950000
2046,43120000
2047,46500000
2048,50070000
2049,53830000
2050,57790000
2051,61620000
2052,65600000
2053,69740000
2054,74000000
2055,78400000
2056,82760000
2057,87080000
2058,91390000
2059,95720000
2060,99990000
2061,104170000
2062,108310000
2063,112400000
2064,116440000
2065,120420000
2066,124240000
2067,128020000
2068,131770000
2069,135520000
2070,138870000
2071,142150000
2072,145430000
2073,148680000
2074,151900000
2075,155090000
2076,158180000
2077,161250000
2078,164340000
2079,167470000
2080,170620000
2081,173650000
2082,176700000
2083,179780000
2084,182870000
2085,186020000
2086,189160000
2087,192300000
2088,195440000
2089,198560000
2090,201680000
2091,204710000
2092,207720000
2093,210770000
2094,213730000
2095,215750000
2096,217730000
2097,219640000
2098,221480000
2099,223270000
2100,224990000
