Tick,Year,Consumer_Price,Demand,Total_Supply
0,2024,,,97536.20005584347
1,2025,1525.71,70100.0,97287.0028105191
2,2026,1525.71,76000.0,95106.44628824544
3,2027,1525.71,83200.0,95861.93682848867
4,2028,1525.71,91100.0,96533.62602423974
5,2029,1525.71,99800.0,254961.94001867215
6,2030,1525.71,108800.0,254642.55055579788
7,2031,1525.71,118000.0,256804.04150805372
8,2032,1525.71,127500.0,255732.08130661282
9,2033,1525.71,137100.0,253573.0944630261
10,2034,1525.71,147400.0,254037.8652869701
11,2035,1525.71,158700.0,309888.0939544405
12,2036,1525.71,172900.0,312298.59139060765
13,2037,1525.71,188800.0,310669.87845221674
14,2038,1525.71,206200.0,310134.23856786726
15,2039,1570.71,225100.0,309034.8476113985
16,2040,1540.71,245600.0,363060.54115316574
17,2041,1540.71,267500.0,364922.72673852986
18,2042,1570.71,290300.0,367899.53033992264
19,2043,1570.71,314800.0,364370.27245706995
20,2044,1570.71,341200.0,367054.030518714
21,2045,1570.71,369400.0,420682.75931802683
22,2046,1570.71,399500.0,466636.0448433862
23,2047,1570.71,431200.0,465302.9670299275
24,2048,1570.71,465000.0,466404.06613207416
25,2049,2000.0,500700.0,465328.3085292333
26,2050,2000.0,538300.0,463510.546784674
27,2051,2000.0,577900.0,465621.7574513328
28,2052,2000.0,616200.0,467084.1703171201
29,2053,2000.0,656000.0,463165.3593231351
30,2054,2000.0,697400.0,502581.9651710066
31,2055,2000.0,740000.0,503061.72269800614
32,2056,2000.0,784000.0,534871.8977963853
33,2057,2000.0,827600.0,599602.1100786091
34,2058,2000.0,870800.0,598823.4151491082
35,2059,2000.0,913900.0,599755.8604479898
36,2060,2000.0,957200.0,600969.9215018433
37,2061,2000.0,999900.0,596894.7719004285
38,2062,2000.0,1041700.0,601489.0045246384
39,2063,2000.0,1083100.0,595819.1858819239
40,2064,2000.0,1124000.0,599255.6709205946
41,2065,2000.0,1164400.0,598675.4258201019
42,2066,2000.0,1204200.0,597136.9542604333
43,2067,2000.0,1242400.0,597354.0245039754
44,2068,2000.0,1280200.0,596285.2661348971
45,2069,2000.0,1317700.0,596830.9814560377
46,2070,2000.0,1355200.0,600541.078801751
47,2071,2000.0,1388700.0,599471.2344435785
48,2072,2000.0,1421500.0,600298.5102729368
49,2073,2000.0,1454300.0,598493.2237507389
50,2074,2000.0,1486800.0,597743.6057454713
51,2075,2000.0,1519000.0,595684.3787312609
52,2076,2000.0,1550900.0,600166.0015575754
53,2077,2000.0,1581800.0,601287.1325530809
54,2078,2000.0,1612500.0,594792.6623847074
55,2079,2000.0,1643400.0,601572.5591074832
56,2080,2000.0,1674700.0,596634.2349833741
57,2081,2000.0,1706200.0,600596.8238448912
58,2082,2000.0,1736500.0,596322.1243656912
59,2083,2000.0,1767000.0,598099.3708781666
60,2084,2000.0,1797800.0,599909.3981914856
61,2085,2000.0,1828700.0,596020.4073412224
62,2086,2000.0,1860200.0,597112.7311245824
63,2087,2000.0,1891600.0,598816.4266998526
64,2088,2000.0,1923000.0,600233.0032131638
65,2089,2000.0,1954400.0,602514.0936529263
66,2090,2000.0,1985600.0,599589.3401255269
67,2091,2000.0,2016800.0,599928.0999797782
68,2092,2000.0,2047100.0,595372.2902455259
69,2093,2000.0,2077200.0,600989.6709276132
70,2094,2000.0,2107700.0,601688.2485530883
71,2095,2000.0,2137300.0,598101.3711077481
72,2096,2000.0,2157500.0,601520.3452279837
73,2097,2000.0,2177300.0,597536.5208012349
74,2098,2000.0,2196400.0,599306.0520637523
75,2099,2000.0,2214800.0,600813.7763651521
76,2100,2000.0,2232700.0,600019.3209916381
77,2101,2000.0,2249900.0,595708.0474219283
78,2102,2000.0,2249900.0,598591.1253273275
79,2103,2000.0,2249900.0,595823.4419012977
80,2104,2000.0,2249900.0,601964.7092206138
81,2105,2000.0,2249900.0,600939.190876921
82,2106,2000.0,2249900.0,597036.6090067201
83,2107,2000.0,2249900.0,599070.9890203745
84,2108,2000.0,2249900.0,598355.2887680863
85,2109,2000.0,2249900.0,599125.8579389827
86,2110,2000.0,2249900.0,597540.6107503928
87,2111,2000.0,2249900.0,601057.5944386476
88,2112,2000.0,2249900.0,597144.4802562478
89,2113,2000.0,2249900.0,602117.2386354625
90,2114,2000.0,2249900.0,595573.8577667895
91,2115,2000.0,2249900.0,600112.6510022776
92,2116,2000.0,2249900.0,600854.9376499231
93,2117,2000.0,2249900.0,597116.1159618454
94,2118,2000.0,2249900.0,598820.0147425131
95,2119,2000.0,2249900.0,599771.0624921081
96,2120,2000.0,2249900.0,597049.887152513
97,2121,2000.0,2249900.0,599701.7569626013
98,2122,2000.0,2249900.0,598912.3383087962
99,2123,2000.0,2249900.0,598977.3707481832
100,2124,2000.0,2249900.0,597449.2078668694
