index,Tick,Year,Consumer_Price,Market_Price,Demand,Total_Supply,Num_Investors,Num_Production_Sites
0,0,2024,,,,97536.20005584347,1,1
1,1,2025,1525.71,1525.71,70100.0,97287.0028105191,2,3
2,2,2026,1525.71,1525.71,76000.0,95106.44628824544,2,3
3,3,2027,1525.71,1525.71,83200.0,95861.93682848867,2,3
4,4,2028,1525.71,1525.71,91100.0,96533.62602423974,2,3
5,5,2029,1525.71,1525.71,99800.0,254961.94001867215,2,3
6,6,2030,1525.71,1525.71,108800.0,254642.55055579788,2,3
7,7,2031,1525.71,1525.71,118000.0,256804.04150805372,3,4
8,8,2032,1525.71,1525.71,127500.0,255732.08130661282,3,4
9,9,2033,1525.71,1525.71,137100.0,253573.0944630261,3,4
10,10,2034,1525.71,1525.71,147400.0,254037.8652869701,3,4
11,11,2035,1525.71,1525.71,158700.0,309888.0939544405,3,4
12,12,2036,1525.71,1525.71,172900.0,312298.59139060765,4,5
13,13,2037,1525.71,1525.71,188800.0,310669.87845221674,4,5
14,14,2038,1525.71,1525.71,206200.0,310134.23856786726,4,5
15,15,2039,1570.71,1570.71,225100.0,309034.8476113985,4,5
16,16,2040,1540.71,1540.71,245600.0,363060.54115316574,4,5
17,17,2041,1540.71,1540.71,267500.0,364922.72673852986,5,6
18,18,2042,1570.71,1570.71,290300.0,367899.53033992264,6,7
19,19,2043,1570.71,1570.71,314800.0,364370.27245706995,6,7
20,20,2044,1570.71,1570.71,341200.0,367054.030518714,6,7
21,21,2045,1570.71,1570.71,369400.0,420682.75931802683,6,7
22,22,2046,1570.71,1570.71,399500.0,466636.0448433862,6,7
23,23,2047,1570.71,1570.71,431200.0,465302.9670299275,6,7
24,24,2048,1570.71,1570.71,465000.0,466404.06613207416,6,7
25,25,2049,2000.0,2000.0,500700.0,465328.3085292333,6,7
26,26,2050,2000.0,2000.0,538300.0,463510.546784674,6,8
27,27,2051,2000.0,2000.0,577900.0,465621.7574513328,6,8
28,28,2052,2000.0,2000.0,616200.0,467084.1703171201,6,9
29,29,2053,2000.0,2000.0,656000.0,463165.3593231351,6,11
30,30,2054,2000.0,2000.0,697400.0,502581.9651710066,6,11
31,31,2055,2000.0,2000.0,740000.0,503061.72269800614,6,11
32,32,2056,2000.0,2000.0,784000.0,534871.8977963853,6,11
33,33,2057,2000.0,2000.0,827600.0,599602.1100786091,6,11
34,34,2058,2000.0,2000.0,870800.0,598823.4151491082,6,11
35,35,2059,2000.0,2000.0,913900.0,599755.8604479898,6,11
36,36,2060,2000.0,2000.0,957200.0,600969.9215018433,6,11
37,37,2061,2000.0,2000.0,999900.0,596894.7719004285,6,11
38,38,2062,2000.0,2000.0,1041700.0,601489.0045246384,6,11
39,39,2063,2000.0,2000.0,1083100.0,595819.1858819239,6,11
40,40,2064,2000.0,2000.0,1124000.0,599255.6709205946,6,11
41,41,2065,2000.0,2000.0,1164400.0,598675.4258201019,6,11
42,42,2066,2000.0,2000.0,1204200.0,597136.9542604333,6,11
