Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Investor_ID,Production_Output,SRMC,Design_Load_Factor,Annual_Load_Factor,NPV,Discount_Rate,ROACE,Feedstock_Price,Available_Feedstock,Current_Supply,Optimism_Factor,SAF_Demand,Consumer_Price_Forecast,EBIT,Raw_ROACE,Max_Supply,Num_Owned_Sites
0,site_UTTAR_PRADESH_001,0,2024,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,,1525.71,1.0,,,,,,,,,,,,,,0
1,site_UTTAR_PRADESH_001,1,2025,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,70100.0,1525.71,1.0,,,,,,,,,,,9757401.427006587,,,0
1,site_MAHARASHTRA_008,1,2025,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,,1570.71,1.0,,,,,,,,,,,,,,0
1,site_UTTAR_PRADESH_022,1,2025,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,,1525.71,0.65,,,,,,,,,,,,,,0
2,site_UTTAR_PRADESH_001,2,2026,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,76000.0,1525.71,1.0,,,,,,,,,,,13541097.230985403,,,0
2,site_MAHARASHTRA_008,2,2026,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,,1570.71,1.0,,,,,,,,,,,-75000000.0,,,0
2,site_UTTAR_PRADESH_022,2,2026,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,,1525.71,0.65,,,,,,,,,,,-75000000.0,,,0
3,site_UTTAR_PRADESH_001,3,2027,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,83200.0,1525.71,1.0,,,,,,,,,,,17182358.02873251,,,0
3,site_MAHARASHTRA_008,3,2027,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,,1570.71,1.0,,,,,,,,,,,-75000000.0,,,0
3,site_UTTAR_PRADESH_022,3,2027,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,,1525.71,0.65,,,,,,,,,,,-75000000.0,,,0
4,site_UTTAR_PRADESH_001,4,2028,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,91100.0,1525.71,1.0,,,,,,,,,,,21222558.70861447,,,0
4,site_MAHARASHTRA_008,4,2028,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,,1570.71,1.0,,,,,,,,,,,-75000000.0,,,0
4,site_UTTAR_PRADESH_022,4,2028,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,,1525.71,0.65,,,,,,,,,,,-75000000.0,,,0
5,site_UTTAR_PRADESH_001,5,2029,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,60684.2854492501,1525.71,1.0,,,,,,,,,,,4945480.521313131,,,0
5,site_MAHARASHTRA_008,5,2029,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,0.0,1570.71,1.0,,,,,,,,,,,-27514543.022871144,,,0
5,site_UTTAR_PRADESH_022,5,2029,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,39115.714550749915,1525.71,0.65,,,,,,,,,,,3187744.6188232005,,,0
6,site_UTTAR_PRADESH_001,6,2030,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,65309.6820634378,1525.71,1.0,,,,,,,,,,,7716573.14962028,,,0
6,site_MAHARASHTRA_008,6,2030,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,0.0,1570.71,1.0,,,,,,,,,,,-27323785.298262328,,,0
6,site_UTTAR_PRADESH_022,6,2030,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,43490.31793656219,1525.71,0.65,,,,,,,,,,,5138537.029345021,,,0
7,site_UTTAR_PRADESH_001,7,2031,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,71491.82533891672,1525.71,1.0,,,,,,,,,,,10622394.125964224,,,0
