Tick,Year,Consumer_Price,Demand,Total_Supply
0,2024,,,79310.78608940549
1,2025,1570.71,70100.0,97310.2411305418
2,2026,1570.71,76000.0,97574.4836370883
3,2027,1570.71,83200.0,96318.95235480598
4,2028,1570.71,91100.0,96642.13312564303
5,2029,1495.71,99800.0,290533.74527370214
6,2030,1495.71,108800.0,290060.28323305707
7,2031,1495.71,118000.0,288517.14580118307
8,2032,1495.71,127500.0,291110.1563927488
9,2033,1495.71,137100.0,289827.4093290593
10,2034,1495.71,147400.0,290452.2404375338
11,2035,1495.71,158700.0,291190.03224969655
12,2036,1495.71,172900.0,291119.55139878206
13,2037,1495.71,188800.0,286881.84313420387
14,2038,1495.71,206200.0,387938.94390266866
15,2039,1495.71,225100.0,384762.6455182582
16,2040,1495.71,245600.0,384714.3543807598
17,2041,1495.71,267500.0,385209.77949567605
18,2042,1495.71,290300.0,484989.6023302401
19,2043,1495.71,314800.0,483980.89200883714
20,2044,1495.71,341200.0,483476.78953422257
21,2045,1495.71,369400.0,578639.8223563121
22,2046,1495.71,399500.0,677720.7483687135
23,2047,1495.71,431200.0,673650.8966871343
24,2048,1495.71,465000.0,674806.2906246713
25,2049,1495.71,500700.0,677239.2946773034
26,2050,1495.71,538300.0,669589.2975722165
27,2051,1495.71,577900.0,772811.4088519929
28,2052,1495.71,616200.0,870744.1305925739
29,2053,1495.71,656000.0,863324.209172579
30,2054,1495.71,697400.0,870530.2857123071
31,2055,1495.71,740000.0,963803.2583245396
32,2056,1495.71,784000.0,1063604.6273758707
33,2057,1495.71,827600.0,1065386.165024927
34,2058,1495.71,870800.0,1161888.4332637321
35,2059,1495.71,913900.0,1154122.9851897287
36,2060,1495.71,957200.0,1157044.5839211084
37,2061,1495.71,999900.0,1250974.5383796422
38,2062,1495.71,1041700.0,1353128.8004313943
39,2063,1495.71,1083100.0,1353153.3449874872
40,2064,1495.71,1124000.0,1352719.9784037473
41,2065,1495.71,1164400.0,1446595.5624658682
42,2066,1495.71,1204200.0,1542999.02659211
43,2067,1495.71,1242400.0,1541790.6809456225
44,2068,1495.71,1280200.0,1544750.4601600035
45,2069,1495.71,1317700.0,1550167.4454900622
46,2070,1495.71,1355200.0,1541881.9976330039
47,2071,1495.71,1388700.0,1548414.4527034601
48,2072,1495.71,1421500.0,1537356.6854892748
49,2073,1570.71,1454300.0,1545216.789249224
50,2074,1570.71,1486800.0,1546866.9124595977
51,2075,1570.71,1519000.0,1546100.5076242953
52,2076,2000.0,1550900.0,1544391.1275092163
53,2077,1570.71,1581800.0,1642560.7030707118
54,2078,1570.71,1612500.0,1650421.0332851382
55,2079,1570.71,1643400.0,1739079.6737780585
56,2080,1570.71,1674700.0,1732556.1328873273
57,2081,1570.71,1706200.0,1739568.9260358296
58,2082,1495.71,1736500.0,1835000.8827193135
59,2083,1495.71,1767000.0,1935781.8402273774
60,2084,1495.71,1797800.0,1924990.3889601408
61,2085,1570.71,1828700.0,1922641.6249626237
62,2086,1570.71,1860200.0,1924447.0911837625
63,2087,1495.71,1891600.0,3291789.3944547144
64,2088,1495.71,1923000.0,3273860.027996046
65,2089,1495.71,1954400.0,3277837.169658159
66,2090,1495.71,1985600.0,3284435.56960523
67,2091,1495.71,2016800.0,3278732.854758881
68,2092,1495.71,2047100.0,3280011.2276525814
69,2093,1495.71,2077200.0,3283108.9414840923
70,2094,1495.71,2107700.0,3277402.9979567695
71,2095,1495.71,2137300.0,3269233.466902531
72,2096,1495.71,2157500.0,3284309.380075709
73,2097,1495.71,2177300.0,3284014.131534538
74,2098,1495.71,2196400.0,3283899.165203291
75,2099,1495.71,2214800.0,3277755.883821207
76,2100,1495.71,2232700.0,3288454.5669613434
77,2101,1495.71,2249900.0,3273029.562993901
78,2102,1495.71,2249900.0,3288532.3526326916
79,2103,1495.71,2249900.0,3280776.9944709535
80,2104,1495.71,2249900.0,3285439.322004299
81,2105,1495.71,2249900.0,3276732.031421944
82,2106,1495.71,2249900.0,3275978.5128596504
83,2107,1495.71,2249900.0,3276175.2836458385
84,2108,1495.71,2249900.0,3275853.3444279972
85,2109,1495.71,2249900.0,3270779.1067435713
86,2110,1495.71,2249900.0,3277584.2416206687
87,2111,1495.71,2249900.0,3276330.817200826
88,2112,1495.71,2249900.0,3275404.9890695987
89,2113,1495.71,2249900.0,3279859.885502908
90,2114,1495.71,2249900.0,3286199.5530698677
91,2115,1495.71,2249900.0,3271664.9731168915
92,2116,1495.71,2249900.0,3277589.572997798
93,2117,1495.71,2249900.0,3282074.710134188
94,2118,1495.71,2249900.0,3277280.0259598764
95,2119,1495.71,2249900.0,3273667.9339626012
96,2120,1495.71,2249900.0,3279842.085663902
97,2121,1495.71,2249900.0,3274072.5463231006
98,2122,1495.71,2249900.0,3287381.7085700375
99,2123,1495.71,2249900.0,3282660.8168745707
100,2124,1495.71,2249900.0,3290510.9463332896
