Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Investor_ID,Production_Output,SRMC,Design_Load_Factor,EBIT,Num_Owned_Sites
0,site_GUJARAT_30062,0,2024,SAFProductionSite,site_GUJARAT_30062,GUJARAT,inv_102,,1540.71,1.0,,0
1,site_GUJARAT_30062,1,2025,SAFProductionSite,site_GUJARAT_30062,GUJARAT,inv_102,70100.0,1540.71,1.0,10038643.413515404,0
1,site_CHHATTISGARH_30090,1,2025,SAFProductionSite,site_CHHATTISGARH_30090,CHHATTISGARH,inv_103,,1495.71,1.0,,0
2,site_GUJARAT_30062,2,2026,SAFProductionSite,site_GUJARAT_30062,GUJARAT,inv_102,76000.0,1540.71,1.0,12877752.550521135,0
2,site_CHHATTISGARH_30090,2,2026,SAFProductionSite,site_CHHATTISGARH_30090,CHHATTISGARH,inv_103,,1495.71,1.0,-125000000.0,0
3,site_GUJARAT_30062,3,2027,SAFProductionSite,site_GUJARAT_30062,GUJARAT,inv_102,83200.0,1540.71,1.0,16590665.020409763,0
3,site_CHHATTISGARH_30090,3,2027,SAFProductionSite,site_CHHATTISGARH_30090,CHHATTISGARH,inv_103,,1495.71,1.0,-125000000.0,0
4,site_GUJARAT_30062,4,2028,SAFProductionSite,site_GUJARAT_30062,GUJARAT,inv_102,91100.0,1540.71,1.0,20917066.894799322,0
4,site_CHHATTISGARH_30090,4,2028,SAFProductionSite,site_CHHATTISGARH_30090,CHHATTISGARH,inv_103,,1495.71,1.0,-125000000.0,0
4,site_CHHATTISGARH_30252,4,2028,SAFProductionSite,site_CHHATTISGARH_30252,CHHATTISGARH,inv_106,,1495.71,1.0,,0
5,site_GUJARAT_30062,5,2029,SAFProductionSite,site_GUJARAT_30062,GUJARAT,inv_102,2083.4142434986716,1540.71,1.0,-26613511.402722616,0
5,site_CHHATTISGARH_30090,5,2029,SAFProductionSite,site_CHHATTISGARH_30090,CHHATTISGARH,inv_103,97716.58575650133,1495.71,1.0,28826392.7981679,0
5,site_CHHATTISGARH_30252,5,2029,SAFProductionSite,site_CHHATTISGARH_30252,CHHATTISGARH,inv_106,,1495.71,1.0,-125000000.0,0
6,site_GUJARAT_30062,6,2030,SAFProductionSite,site_GUJARAT_30062,GUJARAT,inv_102,13347.612128416164,1540.71,1.0,-20498985.367267296,0
