Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Investor_ID,Production_Output,SRMC,Design_Load_Factor,Annual_Load_Factor,NPV,Discount_Rate,ROACE,Feedstock_Price,Available_Feedstock,Current_Supply,Optimism_Factor,SAF_Demand,Consumer_Price_Forecast,EBIT,Raw_ROACE,Max_Supply,Num_Owned_Sites
0,inv_01,0,2024,Investor,inv_01,,inv_01,,,,,,0.0674718722971689,,,,,1.0,,"[[1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 76000.0, 'percentage_sold': 0.76}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 83200.0, 'percentage_sold': 0.832}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 91100.0, 'percentage_sold': 0.911}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 99800.0, 'percentage_sold': 0.998}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]]]",,,,1
1,inv_01,1,2025,Investor,inv_01,,inv_01,,,,,,0.07857156749453174,0.0195015240131858,,,,1.0,,"[[1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 76000.0, 'percentage_sold': 0.76}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 83200.0, 'percentage_sold': 0.832}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 91100.0, 'percentage_sold': 0.911}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 99800.0, 'percentage_sold': 0.998}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]]]",9750762.0065929,0.0195015240131858,,2
1,inv_02,1,2025,Investor,inv_02,,inv_02,,,,,,0.10209543126714872,,,,,1.0,,"[[1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 76000.0, 'percentage_sold': 0.76}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 83200.0, 'percentage_sold': 0.832}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 91100.0, 'percentage_sold': 0.911}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 99800.0, 'percentage_sold': 0.998}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]]]",,,,1
2,inv_01,2,2026,Investor,inv_01,,inv_01,,,,,,0.10956766240840557,-0.17946247315192398,,,,1.0,,"[[1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 83200.0, 'percentage_sold': 0.832}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 91100.0, 'percentage_sold': 0.911}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 99800.0, 'percentage_sold': 0.499}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 108800.0, 'percentage_sold': 0.544}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 118000.0, 'percentage_sold': 0.59}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 127500.0, 'percentage_sold': 0.6375}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 137100.0, 'percentage_sold': 0.6855}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 147400.0, 'percentage_sold': 0.737}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 158700.0, 'percentage_sold': 0.7935}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 172900.0, 'percentage_sold': 0.8645}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 188800.0, 'percentage_sold': 0.944}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 6200.0, 'percentage_sold': 0.062}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 25100.0, 'percentage_sold': 0.251}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 45600.0, 'percentage_sold': 0.456}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 67500.0, 'percentage_sold': 0.675}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 90300.0, 'percentage_sold': 0.903}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]]]",-112164045.7199525,0.02053752684807601,,2
2,inv_02,2,2026,Investor,inv_02,,inv_02,,,,,,0.2,-1.0,,,,1.0,,"[[1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 83200.0, 'percentage_sold': 0.832}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 91100.0, 'percentage_sold': 0.911}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 99800.0, 'percentage_sold': 0.499}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 108800.0, 'percentage_sold': 0.544}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 118000.0, 'percentage_sold': 0.59}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 127500.0, 'percentage_sold': 0.6375}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 137100.0, 'percentage_sold': 0.6855}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 147400.0, 'percentage_sold': 0.737}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 158700.0, 'percentage_sold': 0.7935}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 172900.0, 'percentage_sold': 0.8645}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 188800.0, 'percentage_sold': 0.944}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 6200.0, 'percentage_sold': 0.062}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 25100.0, 'percentage_sold': 0.251}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 45600.0, 'percentage_sold': 0.456}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 67500.0, 'percentage_sold': 0.675}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 90300.0, 'percentage_sold': 0.903}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]]]",-125000000.0,0.0,,1
3,inv_01,3,2027,Investor,inv_01,,inv_01,,,,,,0.14482712265119183,-0.14393095450305549,,,,1.0,,"[[1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 91100.0, 'percentage_sold': 0.911}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 99800.0, 'percentage_sold': 0.499}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 108800.0, 'percentage_sold': 0.544}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 118000.0, 'percentage_sold': 0.59}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 127500.0, 'percentage_sold': 0.6375}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 137100.0, 'percentage_sold': 0.6855}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 147400.0, 'percentage_sold': 0.737}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 158700.0, 'percentage_sold': 0.7935}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 172900.0, 'percentage_sold': 0.8645}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 188800.0, 'percentage_sold': 0.944}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 6200.0, 'percentage_sold': 0.062}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 25100.0, 'percentage_sold': 0.251}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 45600.0, 'percentage_sold': 0.456}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 67500.0, 'percentage_sold': 0.675}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 90300.0, 'percentage_sold': 0.903}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]]]",-107948215.87729162,0.022735712163611175,,2
3,inv_02,3,2027,Investor,inv_02,,inv_02,,,,,,0.2,-0.5,,,,1.0,,"[[1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 91100.0, 'percentage_sold': 0.911}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 99800.0, 'percentage_sold': 0.499}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 108800.0, 'percentage_sold': 0.544}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 118000.0, 'percentage_sold': 0.59}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 127500.0, 'percentage_sold': 0.6375}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 137100.0, 'percentage_sold': 0.6855}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 147400.0, 'percentage_sold': 0.737}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 158700.0, 'percentage_sold': 0.7935}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 172900.0, 'percentage_sold': 0.8645}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 188800.0, 'percentage_sold': 0.944}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 6200.0, 'percentage_sold': 0.062}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 25100.0, 'percentage_sold': 0.251}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 45600.0, 'percentage_sold': 0.456}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 67500.0, 'percentage_sold': 0.675}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 90300.0, 'percentage_sold': 0.903}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]]]",-125000000.0,0.0,,1
4,inv_01,4,2028,Investor,inv_01,,inv_01,,,,,,0.18929589918859635,-0.11863822040608854,,,,1.0,,"[[1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 99800.0, 'percentage_sold': 0.499}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 108800.0, 'percentage_sold': 0.544}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 118000.0, 'percentage_sold': 0.59}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 127500.0, 'percentage_sold': 0.6375}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 137100.0, 'percentage_sold': 0.6855}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 147400.0, 'percentage_sold': 0.737}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 158700.0, 'percentage_sold': 0.7935}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 172900.0, 'percentage_sold': 0.8645}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 188800.0, 'percentage_sold': 0.944}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 6200.0, 'percentage_sold': 0.062}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 25100.0, 'percentage_sold': 0.251}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 45600.0, 'percentage_sold': 0.456}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 67500.0, 'percentage_sold': 0.675}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 90300.0, 'percentage_sold': 0.903}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]]]",-103808442.85532747,0.02421892245105432,,2
4,inv_02,4,2028,Investor,inv_02,,inv_02,,,,,,0.2,-0.3333333333333333,,,,1.0,,"[[1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 99800.0, 'percentage_sold': 0.499}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 108800.0, 'percentage_sold': 0.544}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 118000.0, 'percentage_sold': 0.59}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 127500.0, 'percentage_sold': 0.6375}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 137100.0, 'percentage_sold': 0.6855}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 147400.0, 'percentage_sold': 0.737}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 158700.0, 'percentage_sold': 0.7935}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 172900.0, 'percentage_sold': 0.8645}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 188800.0, 'percentage_sold': 0.944}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 6200.0, 'percentage_sold': 0.062}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 25100.0, 'percentage_sold': 0.251}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 45600.0, 'percentage_sold': 0.456}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 67500.0, 'percentage_sold': 0.675}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 90300.0, 'percentage_sold': 0.903}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]]]",-125000000.0,0.0,,1
5,inv_01,5,2029,Investor,inv_01,,inv_01,,,,,,0.2,-0.03255051903738461,,,,1.0,,"[[1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 108800.0, 'percentage_sold': 0.544}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 118000.0, 'percentage_sold': 0.59}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 127500.0, 'percentage_sold': 0.6375}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 137100.0, 'percentage_sold': 0.6855}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 147400.0, 'percentage_sold': 0.737}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 158700.0, 'percentage_sold': 0.7935}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 172900.0, 'percentage_sold': 0.8645}]], [1495.71, [{'supply_at_marginal': 200000, 'needed_from_marginal': 188800.0, 'percentage_sold': 0.944}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 6200.0, 'percentage_sold': 0.062}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 25100.0, 'percentage_sold': 0.251}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 45600.0, 'percentage_sold': 0.456}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 67500.0, 'percentage_sold': 0.675}]], [1570.71, [{'supply_at_marginal': 100000, 'needed_from_marginal': 90300.0, 'percentage_sold': 0.903}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]], [2000, [{'supply_at_marginal': 0, 'needed_from_marginal': 0, 'percentage_sold': 1}]]]",-28481704.157711536,-0.03255051903738461,,2
