Tick,Year,Consumer_Price,Demand,Total_Supply
0,2024,,,15933.911458305407
1,2025,2000.0,70100.0,17403.400613705588
2,2026,2000.0,76000.0,19541.5007031232
3,2027,2000.0,83200.0,19574.80014436277
4,2028,2000.0,91100.0,19259.200509397146
5,2029,1570.71,99800.0,213925.80434676967
6,2030,1570.71,108800.0,212958.6363258237
7,2031,1570.71,118000.0,211200.80795066347
8,2032,1570.71,127500.0,212504.95444892772
9,2033,1570.71,137100.0,207293.12596187124
10,2034,1570.71,147400.0,213475.27541947522
11,2035,1570.71,158700.0,211288.03047544265
12,2036,1570.71,172900.0,210816.38447013032
13,2037,1570.71,188800.0,212866.19859681188
14,2038,1615.71,206200.0,212153.01970514888
15,2039,2000.0,225100.0,212109.46666745143
16,2040,2000.0,245600.0,210528.31701073336
17,2041,2000.0,267500.0,213958.6288487867
18,2042,2000.0,290300.0,211825.9162495248
19,2043,2000.0,314800.0,214751.0943538024
20,2044,2000.0,341200.0,211931.92162071465
21,2045,2000.0,369400.0,209595.7248706462
22,2046,2000.0,399500.0,210273.2102271784
23,2047,2000.0,431200.0,213631.406555661
24,2048,2000.0,465000.0,256362.15228550436
25,2049,2000.0,500700.0,275315.36771805177
26,2050,2000.0,538300.0,267163.8603894394
27,2051,2000.0,577900.0,297066.01834268053
28,2052,2000.0,616200.0,370591.47428717423
29,2053,2000.0,656000.0,362154.6480824358
30,2054,2000.0,697400.0,379253.21693420224
31,2055,2000.0,740000.0,362982.29370532406
32,2056,2000.0,784000.0,353332.8366599317
33,2057,2000.0,827600.0,383963.13775009883
34,2058,2000.0,870800.0,379380.0656245187
35,2059,2000.0,913900.0,357909.9186799738
36,2060,2000.0,957200.0,343576.1721725605
37,2061,2000.0,999900.0,371251.95276317035
38,2062,2000.0,1041700.0,378139.52029727935
39,2063,2000.0,1083100.0,384225.82791780884
40,2064,2000.0,1124000.0,381008.4424506499
41,2065,2000.0,1164400.0,365334.99797347304
42,2066,2000.0,1204200.0,377288.9344838631
43,2067,2000.0,1242400.0,370190.27736913913
44,2068,2000.0,1280200.0,376383.722018891
45,2069,2000.0,1317700.0,374867.0274380648
46,2070,2000.0,1355200.0,410924.760367598
47,2071,2000.0,1388700.0,424209.7089617435
48,2072,2000.0,1421500.0,425329.8398483395
49,2073,2000.0,1454300.0,420504.787690314
50,2074,2000.0,1486800.0,438875.22830892086
51,2075,2000.0,1519000.0,409508.7852921663
52,2076,2000.0,1550900.0,429178.2441761817
53,2077,2000.0,1581800.0,429863.74872557947
54,2078,2000.0,1612500.0,428427.4773906329
55,2079,2000.0,1643400.0,402932.9335964171
56,2080,2000.0,1674700.0,409329.4502834046
57,2081,2000.0,1706200.0,423222.5743157014
58,2082,2000.0,1736500.0,394402.106836776
59,2083,2000.0,1767000.0,424853.68948556884
60,2084,2000.0,1797800.0,428286.81667714374
61,2085,2000.0,1828700.0,420101.14572618675
62,2086,2000.0,1860200.0,428731.9395231236
63,2087,2000.0,1891600.0,416099.68671727134
64,2088,2000.0,1923000.0,409687.2774327495
65,2089,2000.0,1954400.0,412470.38251258753
66,2090,2000.0,1985600.0,387399.94369154953
67,2091,2000.0,2016800.0,428954.71035757754
68,2092,2000.0,2047100.0,439030.52750569704
69,2093,2000.0,2077200.0,435202.8641255059
70,2094,2000.0,2107700.0,421678.8912947273
71,2095,2000.0,2137300.0,435834.7175257885
72,2096,2000.0,2157500.0,428711.3805531306
73,2097,2000.0,2177300.0,425469.8719448528
74,2098,2000.0,2196400.0,409878.2287549043
75,2099,2000.0,2214800.0,423823.78522254614
76,2100,2000.0,2232700.0,403390.9811001663
77,2101,2000.0,2249900.0,429664.1990011546
78,2102,2000.0,2249900.0,422781.4421179447
79,2103,2000.0,2249900.0,429332.2447618481
80,2104,2000.0,2249900.0,432641.30561400065
81,2105,2000.0,2249900.0,423661.82570457703
82,2106,2000.0,2249900.0,402715.91413862625
83,2107,2000.0,2249900.0,410809.2668110854
84,2108,2000.0,2249900.0,395527.4143920932
85,2109,2000.0,2249900.0,419119.2591582088
86,2110,2000.0,2249900.0,412118.6882391047
87,2111,2000.0,2249900.0,422173.9079909093
88,2112,2000.0,2249900.0,432759.9193782071
89,2113,2000.0,2249900.0,419825.10576642846
90,2114,2000.0,2249900.0,407419.8510255791
91,2115,2000.0,2249900.0,437034.02458719595
92,2116,2000.0,2249900.0,431854.2293098077
93,2117,2000.0,2249900.0,406861.43995151325
94,2118,2000.0,2249900.0,432204.79522153654
95,2119,2000.0,2249900.0,400011.3040858045
96,2120,2000.0,2249900.0,427715.1587162371
97,2121,2000.0,2249900.0,391419.3787657747
98,2122,2000.0,2249900.0,402301.3205455895
99,2123,2000.0,2249900.0,427194.8918285265
100,2124,2000.0,2249900.0,438113.872635475
