index,Tick,Year,Consumer_Price,Market_Price,Demand,Total_Capacity,Actual_Production,Num_Investors,Num_Production_Sites,Num_Active_Contracts,Total_Contracted_Capacity
0,0,2024,,,,100000.0,95809.9756276937,1,1,1,79431.67602233331
1,1,2025,1560.71,1560.71,70100.0,100000.0,70100.0,2,2,2,156781.73733927665
2,2,2026,1560.71,1560.71,76000.0,100000.0,76000.0,2,2,2,156781.73733927665
3,3,2027,1560.71,1560.71,83200.0,100000.0,83200.0,2,2,2,156781.73733927665
4,4,2028,1560.71,1560.71,91100.0,200000.0,84561.40679987475,2,2,2,156781.73733927665
5,5,2029,1535.71,1535.71,99800.0,200000.0,99530.86250309914,2,2,2,156781.73733927665
6,6,2030,1560.71,1560.71,108800.0,200000.0,108514.25017725491,2,2,2,156781.73733927665
7,7,2031,1560.71,1560.71,118000.0,200000.0,117870.4119349455,3,3,3,243150.29501601084
8,8,2032,1560.71,1560.71,127500.0,200000.0,127500.0,3,3,3,243150.29501601084
9,9,2033,1560.71,1560.71,137100.0,200000.0,135818.55689916707,3,3,3,243150.29501601084
10,10,2034,1560.71,1560.71,147400.0,300000.0,147187.8272182142,4,4,4,327515.48414303636
11,11,2035,1535.71,1535.71,158700.0,300000.0,158112.2918107985,5,5,5,407753.98368782067
12,12,2036,1535.71,1535.71,172900.0,300000.0,172900.0,5,5,5,407753.98368782067
13,13,2037,1535.71,1535.71,188800.0,400000.0,188520.88256820093,5,5,5,407753.98368782067
14,14,2038,1540.71,1540.71,206200.0,500000.0,205268.6808497246,6,6,6,495279.5975634529
15,15,2039,1540.71,1540.71,225100.0,500000.0,224253.35036971216,7,7,7,574383.6021463651
16,16,2040,1540.71,1540.71,245600.0,500000.0,244465.46574310976,7,7,7,574383.6021463651
17,17,2041,1540.71,1540.71,267500.0,600000.0,265080.17432019155,7,7,7,574383.6021463651
18,18,2042,1540.71,1540.71,290300.0,700000.0,287119.8366802464,7,7,7,574383.6021463651
19,19,2043,1540.71,1540.71,314800.0,700000.0,314800.0,7,7,7,574383.6021463651
20,20,2044,1540.71,1540.71,341200.0,700000.0,337888.6688441551,7,7,7,574383.6021463651
21,21,2045,1540.71,1540.71,369400.0,700000.0,367355.5144456456,8,8,6,496507.8454402605
22,22,2046,1540.71,1540.71,399500.0,700000.0,397593.00316245266,9,9,7,574571.6902879894
23,23,2047,1560.71,1560.71,431200.0,700000.0,429167.9203140103,10,10,8,654009.1005791232
24,24,2048,1560.71,1560.71,465000.0,800000.0,462258.3860523927,10,10,8,654009.1005791232
25,25,2049,1565.71,1565.71,500700.0,900000.0,499206.5361726718,10,10,8,654009.1005791232
26,26,2050,1565.71,1565.71,538300.0,1000000.0,535696.6397792608,10,10,8,654009.1005791232
27,27,2051,1565.71,1565.71,577900.0,1000000.0,575994.3150296871,11,11,8,651499.725586337
28,28,2052,1565.71,1565.71,616200.0,1000000.0,614916.1838901254,11,11,8,651499.725586337
29,29,2053,1565.71,1565.71,656000.0,1000000.0,653513.9094358651,11,11,8,651499.725586337
30,30,2054,1565.71,1565.71,697400.0,1100000.0,695674.1292333368,11,11,7,567134.5364593115
31,31,2055,1570.71,1570.71,740000.0,1100000.0,736114.6646772053,12,12,7,564246.0473779325
32,32,2056,1570.71,1570.71,784000.0,1100000.0,778113.883359891,12,12,7,564246.0473779325
33,33,2057,1580.71,1580.71,827600.0,1100000.0,826537.5866391173,12,12,7,564246.0473779325
34,34,2058,1580.71,1580.71,870800.0,1200000.0,865686.1692323703,12,12,6,476720.4335023002
35,35,2059,1585.71,1585.71,913900.0,1200000.0,905514.664625863,12,13,6,484332.5813261558
36,36,2060,1585.71,1585.71,957200.0,1200000.0,956211.462173867,12,13,6,484332.5813261558
37,37,2061,1585.71,1585.71,999900.0,1200000.0,998808.2660658091,13,14,7,561928.3269640545
38,38,2062,1585.71,1585.71,1041700.0,1300000.0,1026600.3411359034,13,14,7,561928.3269640545
39,39,2063,1585.71,1585.71,1083100.0,1300000.0,1077010.1081525644,14,15,8,644557.8007742648
40,40,2064,1590.71,1590.71,1124000.0,1400000.0,1110525.1576485445,15,16,9,730103.6484030363
41,41,2065,1590.71,1590.71,1164400.0,1400000.0,1159281.1317240368,15,16,8,651197.6677698644
42,42,2066,1605.71,1605.71,1204200.0,1500000.0,1195138.4482003432,15,16,7,573133.8229221355
43,43,2067,1605.71,1605.71,1242400.0,1600000.0,1235226.9315827677,15,16,6,493696.41263100156
44,44,2068,1605.71,1605.71,1280200.0,1600000.0,1277678.4289784129,16,17,7,577824.9352850157
45,45,2069,1615.71,1615.71,1317700.0,1600000.0,1311063.8249551323,16,17,7,577824.9352850157
46,46,2070,1615.71,1615.71,1355200.0,1600000.0,1347253.8682752985,16,17,7,577824.9352850157
47,47,2071,1615.71,1615.71,1388700.0,1700000.0,1366644.23998546,16,17,6,493965.7526010678
48,48,2072,1620.71,1620.71,1421500.0,1700000.0,1418858.837389011,16,17,6,493965.7526010678
49,49,2073,1620.71,1620.71,1454300.0,1700000.0,1444496.8286406896,17,19,8,657750.4869751506
50,50,2074,1735.71,1735.71,1486800.0,1700000.0,1454458.7840576267,17,19,8,657750.4869751506
51,51,2075,1735.71,1735.71,1519000.0,1700000.0,1514523.509704135,17,19,7,580400.4765117455
52,52,2076,1735.71,1735.71,1550900.0,1900000.0,1540457.1652963143,17,19,7,580400.4765117455
53,53,2077,1735.71,1735.71,1581800.0,1900000.0,1568684.355471298,17,20,8,661253.3000112709
54,54,2078,1735.71,1735.71,1612500.0,1900000.0,1600934.9030921971,17,20,8,661253.3000112709
55,55,2079,1735.71,1735.71,1643400.0,1900000.0,1637762.4942211634,17,21,8,655175.8692658155
56,56,2080,1740.71,1740.71,1674700.0,2000000.0,1667616.736551193,17,21,8,655175.8692658155
57,57,2081,1740.71,1740.71,1706200.0,2000000.0,1698444.9529930449,17,22,8,656474.754648323
58,58,2082,1740.71,1740.71,1736500.0,2100000.0,1727652.2087403208,17,22,8,656474.754648323
59,59,2083,1740.71,1740.71,1767000.0,2100000.0,1757491.0051961404,17,24,9,737370.1344306384
60,60,2084,1740.71,1740.71,1797800.0,2200000.0,1789895.0622847169,17,24,8,651824.286801867
61,61,2085,1740.71,1740.71,1828700.0,2200000.0,1817533.9218134014,17,24,8,651824.286801867
62,62,2086,1740.71,1740.71,1860200.0,2400000.0,1850163.12674137,17,24,8,651824.286801867
63,63,2087,1740.71,1740.71,1891600.0,2400000.0,1877628.2759372005,17,24,8,651824.286801867
64,64,2088,1740.71,1740.71,1923000.0,2400000.0,1913480.0962047232,17,24,7,567695.7641478528
65,65,2089,1740.71,1740.71,1954400.0,2400000.0,1944424.0946093418,17,24,7,567695.7641478528
66,66,2090,1740.71,1740.71,1985600.0,2400000.0,1971734.3727062196,17,24,7,567695.7641478528
67,67,2091,1760.71,1760.71,2016800.0,2400000.0,2013398.5649236073,17,24,7,567695.7641478528
68,68,2092,1760.71,1760.71,2047100.0,2400000.0,2028466.603696812,17,24,7,567695.7641478528
69,69,2093,1760.71,1760.71,2077200.0,2400000.0,2063126.194865676,17,24,5,403911.0297737699
