Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Investor_ID,Production_Output,Contracted_Production,Spot_Production,Curtailed_Volume,Take_Or_Pay_Penalty,SRMC,Opex,Transport_Cost,Profit_Margin,Max_Capacity,Is_Operational,Plant_ID,Design_Load_Factor,Annual_Load_Factor,NPV,Discount_Rate,ROACE,Feedstock_Price,Available_Feedstock,Current_Supply,Optimism_Factor,SAF_Demand,Consumer_Price_Forecast,EBIT,Raw_ROACE,Max_Supply,Cumulative_Allocated,Num_Owned_Sites,State_Spot_Price,Aggregator_Contracted_Capacity,Contract_Price,Initial_Contract_Price,Num_Contracts,Avg_Contract_Coverage
0,site_GUJARAT_001,0,2024,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,95131.48962557448,82348.10846793756,12783.381157636915,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
1,site_GUJARAT_001,1,2025,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,70100.0,70100.0,0.0,12712.530512471421,3813759.1537414263,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,17101111.16970332,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
1,site_PUNJAB_020,1,2025,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,False,site_PUNJAB_020,1.0,,,,,,,,,,,,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
2,site_GUJARAT_001,2,2026,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,76000.0,76000.0,0.0,7570.991999604943,2271297.599881483,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,18540434.3637297,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
2,site_PUNJAB_020,2,2026,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,False,site_PUNJAB_020,1.0,,,,,,,,,,,-125000000.0,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
3,site_GUJARAT_001,3,2027,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,83200.0,82862.13565531216,337.86434468784137,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,20296896.566609368,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
3,site_PUNJAB_020,3,2027,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,False,site_PUNJAB_020,1.0,,,,,,,,,,,-125000000.0,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
4,site_GUJARAT_001,4,2028,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,86721.08864157327,84282.53318956456,2438.5554520087026,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,19448595.13885607,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
4,site_PUNJAB_020,4,2028,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,-125000000.0,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
5,site_GUJARAT_001,5,2029,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,86330.87517440897,82489.28607792346,3841.589096485506,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,15385195.375174433,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
5,site_PUNJAB_020,5,2029,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,11592.36482544127,11592.36482544127,0.0,69674.82146832194,20902446.440496583,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,2829044.0528240576,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
5,site_CHHATTISGARH_245,5,2029,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,False,site_CHHATTISGARH_245,1.0,,,,,,,,,,,,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
6,site_GUJARAT_001,6,2030,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,86330.87517440897,83115.36200857829,3215.513165830678,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,19560083.02855958,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
6,site_PUNJAB_020,6,2030,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,22469.124825591032,22469.124825591032,0.0,58883.567227658496,17665070.168297548,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,-11058164.698393498,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
6,site_CHHATTISGARH_245,6,2030,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,False,site_CHHATTISGARH_245,1.0,,,,,,,,,,,-125000000.0,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
7,site_GUJARAT_001,7,2031,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,86986.10793964354,84318.39827703929,2667.7096626042476,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,19372876.47520441,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
7,site_PUNJAB_020,7,2031,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,31013.892060356462,31013.892060356462,0.0,51186.08663616932,15355825.990850795,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,-6236385.216584098,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
7,site_CHHATTISGARH_245,7,2031,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,False,site_CHHATTISGARH_245,1.0,,,,,,,,,,,-125000000.0,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
8,site_GUJARAT_001,8,2032,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,88069.35410940174,84150.40541581213,3918.948693589613,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,19063382.212042794,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
8,site_PUNJAB_020,8,2032,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,39254.82947343234,39254.82947343234,0.0,42497.43651169547,12749230.953508642,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,-1206594.1315892152,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
8,site_CHHATTISGARH_245,8,2032,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,True,site_CHHATTISGARH_245,1.0,,,,,,,,,,,-125000000.0,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
9,site_GUJARAT_001,9,2033,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,88069.35410940174,84198.84723075764,3870.506878644097,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,14888494.558657646,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
9,site_PUNJAB_020,9,2033,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,49030.64589059826,49030.64589059826,0.0,32741.08713617365,9822326.140852096,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,11965622.13591645,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
9,site_CHHATTISGARH_245,9,2033,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,77940.47178109664,23382141.534328993,1495.71,285.71,600.0,250.0,100000.0,True,site_CHHATTISGARH_245,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
9,site_HARYANA_525,9,2033,SAFProductionSite,site_HARYANA_525,HARYANA,inv_10,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,False,site_HARYANA_525,1.0,,,,,,,,,,,,,,,0,445.50000000000006,86545.10098269311,405.0,405.0,,
10,site_GUJARAT_001,10,2034,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,86463.5736715616,82616.07969922778,3847.4939723338175,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,15347282.087552965,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
10,site_PUNJAB_020,10,2034,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,59279.94810330824,59279.94810330824,0.0,23137.964661542443,6941389.398462733,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,14466900.16736935,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
10,site_CHHATTISGARH_245,10,2034,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,77994.71116739011,23398413.350217033,1495.71,285.71,600.0,250.0,100000.0,True,site_CHHATTISGARH_245,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
10,site_HARYANA_525,10,2034,SAFProductionSite,site_HARYANA_525,HARYANA,inv_10,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,False,site_HARYANA_525,1.0,,,,,,,,,,,-125000000.0,,,,0,445.50000000000006,86545.10098269311,405.0,405.0,,
10,site_ODISHA_624,10,2034,SAFProductionSite,site_ODISHA_624,ODISHA,inv_11,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,False,site_ODISHA_624,1.0,,,,,,,,,,,,,,,0,445.50000000000006,89404.74534625192,405.0,405.0,,
