Tick,Year,Consumer_Price,Market_Price,Demand,Total_Capacity,Actual_Production,Num_Investors,Num_Production_Sites,Num_Active_Contracts,Total_Contracted_Capacity
0,2024,,,,100000.0,95882.18614818729,1,1,1,77434.46841016506
1,2025,1560.71,1560.71,70100.0,100000.0,70100.0,2,2,2,162044.9585776874
2,2026,1560.71,1560.71,76000.0,100000.0,76000.0,3,3,3,245705.6184249808
3,2027,1560.71,1560.71,83200.0,100000.0,83200.0,3,3,3,245705.6184249808
4,2028,1560.71,1560.71,91100.0,200000.0,91100.0,3,3,3,245705.6184249808
5,2029,1535.71,1535.71,99800.0,300000.0,99800.0,3,3,3,245705.6184249808
6,2030,1535.71,1535.71,108800.0,300000.0,108800.0,3,3,3,245705.6184249808
7,2031,1535.71,1535.71,118000.0,300000.0,117281.02984431802,3,3,3,245705.6184249808
8,2032,1535.71,1535.71,127500.0,300000.0,127500.0,3,3,3,245705.6184249808
9,2033,1535.71,1535.71,137100.0,300000.0,137100.0,3,3,3,245705.6184249808
10,2034,1535.71,1535.71,147400.0,300000.0,146329.03463839134,3,3,3,245705.6184249808
11,2035,1535.71,1535.71,158700.0,300000.0,158700.0,3,3,3,245705.6184249808
12,2036,1535.71,1535.71,172900.0,300000.0,171054.6991963789,3,3,3,245705.6184249808
13,2037,1535.71,1535.71,188800.0,300000.0,188800.0,4,4,4,325138.0393204703
14,2038,1560.71,1560.71,206200.0,300000.0,203701.90195572248,5,5,5,403775.7212851257
15,2039,1560.71,1560.71,225100.0,300000.0,224262.61908648856,5,5,5,403775.7212851257
16,2040,1560.71,1560.71,245600.0,400000.0,245415.2380131841,5,5,5,403775.7212851257
17,2041,1540.71,1540.71,267500.0,500000.0,266708.2850653272,5,5,5,403775.7212851257
18,2042,1540.71,1540.71,290300.0,500000.0,288726.5259311462,5,5,5,403775.7212851257
19,2043,1540.71,1540.71,314800.0,500000.0,310664.37481547415,6,6,6,488101.35650861304
20,2044,1540.71,1540.71,341200.0,500000.0,341200.0,6,6,6,488101.35650861304
21,2045,1540.71,1540.71,369400.0,500000.0,367306.5949969262,6,6,4,326056.39793092565
22,2046,1540.71,1540.71,399500.0,600000.0,397873.47627036885,6,7,4,325715.2512870191
23,2047,1560.71,1560.71,431200.0,600000.0,430519.49053322256,6,7,4,325715.2512870191
24,2048,1560.71,1560.71,465000.0,600000.0,464355.0819647878,7,8,5,406290.84031511476
25,2049,1565.71,1565.71,500700.0,700000.0,499267.7681469292,7,8,5,406290.84031511476
26,2050,1565.71,1565.71,538300.0,700000.0,536036.1946654002,7,8,5,406290.84031511476
27,2051,1565.71,1565.71,577900.0,800000.0,575290.5989568605,7,8,5,406290.84031511476
28,2052,1565.71,1565.71,616200.0,800000.0,615713.6335135016,7,8,5,406290.84031511476
29,2053,1565.71,1565.71,656000.0,800000.0,651006.6365856804,8,9,6,489285.9350191649
30,2054,1565.71,1565.71,697400.0,800000.0,696492.8038930496,9,11,8,653374.5952231671
31,2055,1570.71,1570.71,740000.0,800000.0,735485.4487128308,9,11,8,653374.5952231671
32,2056,1570.71,1570.71,784000.0,900000.0,764842.829486544,10,12,9,737982.771393713
33,2057,1580.71,1580.71,827600.0,1100000.0,824339.364763171,10,12,8,658550.3504982234
34,2058,1580.71,1580.71,870800.0,1100000.0,867862.5076405357,10,12,7,579912.668533568
35,2059,1585.71,1585.71,913900.0,1200000.0,905647.9292027614,10,12,7,579912.668533568
36,2060,1585.71,1585.71,957200.0,1200000.0,951107.5088821971,11,14,9,749198.2336119859
37,2061,1585.71,1585.71,999900.0,1200000.0,997585.3331535357,11,14,9,749198.2336119859
38,2062,1585.71,1585.71,1041700.0,1200000.0,1035070.9851282451,11,14,9,749198.2336119859
39,2063,1585.71,1585.71,1083100.0,1400000.0,1078398.843536635,11,14,8,664872.5983884986
40,2064,1590.71,1590.71,1124000.0,1400000.0,1117122.149860396,11,14,8,664872.5983884986
41,2065,1590.71,1590.71,1164400.0,1400000.0,1157090.493990148,11,14,8,664872.5983884986
42,2066,1605.71,1605.71,1204200.0,1400000.0,1201294.981086605,11,15,8,666624.499382504
43,2067,1605.71,1605.71,1242400.0,1400000.0,1234024.9833782013,11,15,8,666624.499382504
44,2068,1605.71,1605.71,1280200.0,1400000.0,1275815.2986715236,12,16,8,668858.118141563
45,2069,1610.71,1610.71,1317700.0,1500000.0,1305112.8347260933,12,16,8,668858.118141563
46,2070,1610.71,1610.71,1355200.0,1500000.0,1354980.4336781697,13,17,9,747601.2737032085
