Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Investor_ID,Production_Output,Contracted_Production,Spot_Production,Curtailed_Volume,Take_Or_Pay_Penalty,SRMC,Design_Load_Factor,EBIT,Num_Owned_Sites,State_Spot_Price,Aggregator_Contracted_Capacity,Contract_Price,Initial_Contract_Price
0,site_RAJASTHAN_001,0,2024,SAFProductionSite,site_RAJASTHAN_001,RAJASTHAN,inv_01,95514.2776922637,85917.98633289788,9596.291359365818,0.0,0.0,1570.71,1.0,,0,533.5,89953.02944101824,485.0,485.0
1,site_RAJASTHAN_001,1,2025,SAFProductionSite,site_RAJASTHAN_001,RAJASTHAN,inv_01,70100.0,70100.0,0.0,17980.59417286291,5394178.251858873,1570.71,1.0,17183418.071450457,0,533.5,89953.02944101824,485.0,485.0
1,site_PUNJAB_002,1,2025,SAFProductionSite,site_PUNJAB_002,PUNJAB,inv_01,0.0,0.0,0.0,0.0,0.0,1495.71,1.0,,0,440.00000000000006,86826.19570449465,400.0,400.0
1,site_CHHATTISGARH_029,1,2025,SAFProductionSite,site_CHHATTISGARH_029,CHHATTISGARH,inv_02,0.0,0.0,0.0,0.0,0.0,1495.71,1.0,,0,440.00000000000006,82726.56187779977,400.0,400.0
2,site_RAJASTHAN_001,2,2026,SAFProductionSite,site_RAJASTHAN_001,RAJASTHAN,inv_01,76000.0,76000.0,0.0,11602.913181930315,3480873.9545790944,1570.71,1.0,18629668.665195927,0,533.5,89953.02944101824,485.0,485.0
2,site_PUNJAB_002,2,2026,SAFProductionSite,site_PUNJAB_002,PUNJAB,inv_01,0.0,0.0,0.0,0.0,0.0,1495.71,1.0,-125000000.0,0,440.00000000000006,86826.19570449465,400.0,400.0
2,site_CHHATTISGARH_029,2,2026,SAFProductionSite,site_CHHATTISGARH_029,CHHATTISGARH,inv_02,0.0,0.0,0.0,0.0,0.0,1495.71,1.0,-125000000.0,0,440.00000000000006,82726.56187779977,400.0,400.0
2,site_HARYANA_075,2,2026,SAFProductionSite,site_HARYANA_075,HARYANA,inv_03,0.0,0.0,0.0,0.0,0.0,1495.71,1.0,,0,445.50000000000006,82363.49357550456,405.0,405.0
3,site_RAJASTHAN_001,3,2027,SAFProductionSite,site_RAJASTHAN_001,RAJASTHAN,inv_01,83200.0,83200.0,0.0,2315.1172384400124,694535.1715320037,1570.71,1.0,20394584.644003958,0,533.5,89953.02944101824,485.0,485.0
3,site_PUNJAB_002,3,2027,SAFProductionSite,site_PUNJAB_002,PUNJAB,inv_01,0.0,0.0,0.0,0.0,0.0,1495.71,1.0,-125000000.0,0,440.00000000000006,86826.19570449465,400.0,400.0
3,site_CHHATTISGARH_029,3,2027,SAFProductionSite,site_CHHATTISGARH_029,CHHATTISGARH,inv_02,0.0,0.0,0.0,0.0,0.0,1495.71,1.0,-125000000.0,0,440.00000000000006,82726.56187779977,400.0,400.0
3,site_HARYANA_075,3,2027,SAFProductionSite,site_HARYANA_075,HARYANA,inv_03,0.0,0.0,0.0,0.0,0.0,1495.71,1.0,-125000000.0,0,445.50000000000006,82363.49357550456,405.0,405.0
